word;translation;example_sentence;transition_sentence
amid; inmitten; He was lost amid the crowd; Er war verloren inmitten der Menge
amusing; amüsant; The movie was very amusing; Der Film war sehr amüsant
analogy; Analogie; He used an analogy to explain the situation; Er benutzte eine Analogie um zu erklären die Situation
analyst; Analytiker/in; She is a financial analyst; Sie ist eine finanzielle Analytikerin
ancestor; Vorfahr/in; He is a descendant of an important ancestor; Er ist ein Nachkomme von einem wichtigen Vorfahr
anchor; Anker; The ship dropped anchor; Das Schiff ließ fallen Anker
angel; Engel; She has the voice of an angel; Sie hat die Stimme von einem Engel
animation; Animation; He is very good at animation; Er ist sehr gut in Animation
annually; jährlich; The company publishes its results annually; Die Firma veröffentlicht ihre Ergebnisse jährlich
anonymous; anonym; They received an anonymous letter; Sie erhielten ein anonymes Brief
anticipate; erwarten; They anticipate a good result; Sie erwarten ein gutes Ergebnis
anxiety; Angst; He has a lot of anxiety; Er hat eine Menge von Angst
apology; Entschuldigung; He offered an apology for his actions; Er bot an eine Entschuldigung für seine Taten
apparatus; Apparat; The laboratory was filled with complex apparatus; Das Labor war gefüllt mit komplexem Apparat
appealing; ansprechend; The offer was very appealing; Das Angebot war sehr ansprechend
appetite; Appetit; He has a good appetite; Er hat einen guten Appetit
applaud; applaudieren; The crowd applauded the performance; Die Menge applaudierte der Aufführung
applicable; anwendbar; This rule is applicable in all cases; Diese Regel ist anwendbar in allen Fällen
applicant; Bewerber/in; They received over 100 applicants for the job; Sie erhielten über 100 Bewerber für den Job
appoint; ernennen; They will appoint a new manager; Sie werden ernennen einen neuen Manager
appreciation; Wertschätzung; They showed their appreciation for her help; Sie zeigten ihre Wertschätzung für ihre Hilfe
appropriately; angemessen; They responded appropriately; Sie antworteten angemessen
arbitrary; willkürlich; The decision seemed very arbitrary; Die Entscheidung schien sehr willkürlich
architectural; architektonisch; He likes architectural designs; Er mag architektonische Entwürfe
archive; Archiv; The document was stored in the archive; Das Dokument war gespeichert in dem Archiv
arena; Arena; The sports event was held in the arena; Das Sport Event war gehalten in der Arena
arguably; wohl; It is arguably the best movie ever made; Es ist wohl der beste Film jemals gemacht
arm; Arm; He has a broken arm; Er hat einen gebrochenen Arm
array; Anordnung; There was an array of different colours; Es war eine Anordnung von verschiedenen Farben
arrow; Pfeil; They fired an arrow at the target; Sie feuerten einen Pfeil auf das Ziel
articulate; artikulieren; He is very good at articulating his thoughts; Er ist sehr gut in Artikulierend seine Gedanken
artwork; Kunstwerk; The museum contains many pieces of artwork; Das Museum enthält viele Stücke von Kunstwerk
ash; Asche; The fire turned to ash; Das Feuer verwandelte sich zu Asche
aside; beiseite; He moved the chair aside; Er bewegte den Stuhl beiseite
aspiration; Bestrebung; She has a strong aspiration to become a doctor; Sie hat eine starke Bestrebung um zu werden eine Ärztin
aspire; anstreben; He aspires to become a successful businessman; Er strebt an um zu werden ein erfolgreicher Geschäftsmann
assassination; Attentat; The assassination of the president shocked the world; Das Attentat von dem Präsidenten schockierte die Welt
assault; Angriff; She was the victim of an assault; Sie war das Opfer von einem Angriff
assemble; montieren; They need to assemble the furniture; Sie müssen montieren die Möbel
assembly; Montage; The assembly of the machine is quite complex; Die Montage von der Maschine ist ziemlich komplex
assert; behaupten; He asserted his innocence; Er behauptete seine Unschuld
assertion; Behauptung; His assertion proved to be correct; Seine Behauptung bewies zu sein richtig
asset; Vermögenswert; The company has some valuable assets; Die Firma hat einige wertvolle Vermögenswerte
assign; zuweisen; They assigned her the task; Sie wiesen ihr zu die Aufgabe
assistance; Hilfe; He asked for assistance from his colleagues; Er fragte nach Hilfe von seinen Kollegen
assumption; Annahme; That is based on a wrong assumption; Das ist basiert auf eine falsche Annahme
assurance; Zusicherung; They gave her an assurance that the money would be safe; Sie gaben ihr eine Zusicherung, dass das Geld würde sein sicher
assure; versichern; He assured her that it was safe; Er versicherte ihr, dass es war sicher
astonishing; erstaunlich; That is an astonishing discovery; Das ist eine erstaunliche Entdeckung
asylum; Asyl; He is seeking political asylum; Er sucht politisches Asyl
atrocity; Gräueltat; The war was marked by a number of atrocities; Der Krieg war gekennzeichnet von einer Zahl von Gräueltaten
attachment; Anhang; You can find the details in the attachment; Du kannst finden die Details in dem Anhang
attain; erreichen; They are trying to attain the target; Sie versuchen zu erreichen das Ziel
attendance; Teilnahme; Attendance at the meeting is mandatory; Teilnahme an dem Treffen ist verpflichtend
attorney; Anwalt/Anwältin; She is a qualified attorney; Sie ist eine qualifizierte Anwältin
attribute; zuschreiben; She attributes her success to hard work; Sie schreibt ihren Erfolg zu harter Arbeit
auction; Auktion; They are holding an auction for charity; Sie halten eine Auktion für Wohltätigkeit
audio; Audio; The audio was not very clear; Das Audio war nicht sehr klar
audit; Prüfung; They will carry out an audit of the accounts; Sie werden durchführen eine Prüfung von den Konten
authentic; authentisch; Is the painting authentic?; Ist das Gemälde authentisch?
authorize; ermächtigen; He has the right to authorize the payment; Er hat das Recht zu ermächtigen die Zahlung
auto; Auto; He owns a brand new auto; Er besitzt ein brandneues Auto
automatic; automatisch; The door is automatic; Die Tür ist automatisch
automatically; automatisch; The system will do it automatically; Das System wird tun es automatisch
autonomy; Autonomie; The country is fighting for its autonomy; Das Land kämpft für seine Autonomie
availability; Verfügbarkeit; We need to check the availability of rooms; Wir müssen prüfen die Verfügbarkeit von Zimmern
await; erwarten; They are awaiting a reply; Sie erwarten eine Antwort
awareness; Bewusstsein; They are raising awareness about the issue; Sie erhöhen das Bewusstsein über das Thema
awkward; peinlich; There was an awkward silence; Es gab eine peinliche Stille
backdrop; Hintergrund; The mountains formed a beautiful backdrop; Die Berge bildeten einen schönen Hintergrund
backing; Unterstützung; She has a lot of support and backing; Sie hat eine Menge Unterstützung und Rückendeckung
backup; Sicherung; We need to make a backup of our data; Wir müssen machen eine Sicherung von unseren Daten
badge; Abzeichen; He was wearing a police badge; Er trug ein Polizei Abzeichen
bail; Kaution; He was released on bail; Er war freigelassen auf Kaution
balanced; ausgeglichen; He has a very balanced lifestyle; Er hat einen sehr ausgeglichenen Lebensstil
ballet; Ballett; She dances ballet; Sie tanzt Ballett
balloon; Ballon; The balloon floated away; Der Ballon schwebte weg
ballot; Wahlzettel; They cast their ballot in the election; Sie gaben ab ihren Wahlzettel in der Wahl
banner; Banner; The crowd were waving banners; Die Menge war wehend Banner
bare; kahl; The tree was bare; Der Baum war kahl
barely; kaum; She could barely hear him; Sie konnte kaum hören ihn
bargain; Schnäppchen; It was a real bargain; Es war ein echtes Schnäppchen
barrel; Fass; The barrel was filled with water; Das Fass war gefüllt mit Wasser
basement; Keller; The washing machine is in the basement; Die Waschmaschine ist in dem Keller
basket; Korb; The basket was full of fruits; Der Korb war voll von Früchten
bass; Bass; He plays the bass guitar; Er spielt die Bass Gitarre
bat; Fledermaus/Schläger; He used a bat to play baseball; Er benutzte einen Schläger um zu spielen Baseball
battlefield; Schlachtfeld; The battlefield was covered in bodies; Das Schlachtfeld war bedeckt mit Körpern
bay; Bucht; The town is located in a bay; Die Stadt ist gelegen in einer Bucht
beam; Balken; The beam was made of wood; Der Balken war gemacht aus Holz
beast; Tier; The beast roared loudly; Das Tier brüllte laut
behalf; Auftrag; I am speaking on behalf of the group; Ich spreche im Auftrag der Gruppe
beloved; geliebt; He is a beloved character; Er ist ein geliebter Charakter
bench; Bank; He sat on a park bench; Er saß auf einer Park Bank
benchmark; Maßstab; The product is the benchmark for its class; Das Produkt ist der Maßstab für seine Klasse
beneath; unterhalb; The treasure was hidden beneath the floor; Der Schatz war versteckt unterhalb des Bodens
beneficial; vorteilhaft; The exercise is very beneficial for the health; Die Übung ist sehr vorteilhaft für die Gesundheit
beneficiary; Begünstigte/r; She is the beneficiary of the trust fund; Sie ist die Begünstigte von dem Treuhandfonds
beside; neben; He sat beside his wife; Er saß neben seiner Frau
besides; außerdem; Besides that, what else do you need; Außerdem, was sonst brauchst du
betray; verraten; He betrayed her trust; Er verriet ihr Vertrauen
bias; Voreingenommenheit; The media has a clear bias; Die Medien haben eine klare Voreingenommenheit
bid; bieten; They bid a high price for the painting; Sie boten einen hohen Preis für das Gemälde
bind; binden; They bound him with rope; Sie banden ihn mit Seil
biography; Biografie; He is reading a biography of Churchill; Er liest eine Biografie von Churchill
biological; biologisch; They are conducting biological research; Sie führen durch biologische Forschung
bishop; Bischof; The bishop is the head of the diocese; Der Bischof ist der Kopf von der Diözese
bizarre; bizarr; His behaviour was bizarre; Sein Verhalten war bizarr
blade; Klinge; The blade of the knife was very sharp; Die Klinge von dem Messer war sehr scharf
blanket; Decke; She covered herself with a blanket; Sie bedeckte sich mit einer Decke
blast; Explosion; There was a huge blast; Es war eine riesige Explosion
bleed; bluten; His finger started to bleed; Sein Finger begann zu bluten
blend; mischen; Blend the ingredients well; Mische die Zutaten gut
bless; segnen; God bless you; Gott segne dich
blessing; Segen; This is a true blessing; Das ist ein wahrer Segen
blow; Schlag; He gave him a blow to the face; Er gab ihm einen Schlag auf das Gesicht
boast; prahlen; He likes to boast about his achievements; Er mag zu prahlen über seine Errungenschaften
bold; mutig; He is a very bold person; Er ist eine sehr mutige Person
bombing; Bombenanschlag; The city suffered another bombing; Die Stadt erlitt einen weiteren Bombenanschlag
bonus; Bonus; They received a year-end bonus; Sie erhielten einen Jahresendbonus
booking; Buchung; She made a booking for the restaurant; Sie machte eine Buchung für das Restaurant
boom; Boom; The city experienced an economic boom; Die Stadt erlebte einen wirtschaftlichen Boom
boost; ankurbeln; The new project will boost the economy; Das neue Projekt wird ankurbeln die Wirtschaft
bounce; springen; The ball bounced off the wall; Der Ball sprang ab von der Wand
bound; gebunden; The criminal was bound to the chair; Der Kriminelle war gebunden an den Stuhl
boundary; Grenze; The river marks the boundary between the two countries; Der Fluss markiert die Grenze zwischen den zwei Ländern
bow; Bogen; She tied the ribbon in a bow; Sie band das Band in einen Bogen
breach; Bruch; They accused him of a breach of contract; Sie beschuldigten ihn eines Bruches von Vertrag
breakdown; Zusammenbruch; There was a breakdown in negotiations; Es gab einen Zusammenbruch in Verhandlungen
breakthrough; Durchbruch; The discovery was a scientific breakthrough; Die Entdeckung war ein wissenschaftlicher Durchbruch
breed; züchten; They breed dogs for competitions; Sie züchten Hunde für Wettbewerbe
brick; Ziegelstein; The house is made of bricks; Das Haus ist gemacht aus Ziegelsteinen
briefly; kurz; She spoke briefly about her trip; Sie sprach kurz über ihre Reise
broadband; Breitband; We have a fast broadband connection; Wir haben eine schnelle Breitbandverbindung
broadcaster; Sender; He is a well-known broadcaster; Er ist ein bekannter Sender
broadly; weitgehend; He is broadly similar to his brother; Er ist weitgehend ähnlich zu seinem Bruder
browser; Browser; Open the browser to access the internet; Öffne den Browser um zuzugreifen das Internet
brutal; brutal; The attack was very brutal; Der Angriff war sehr brutal
buck; Dollar; The book cost 20 bucks; Das Buch kostete 20 Dollar
buddy; Kumpel; He is my best buddy; Er ist mein bester Kumpel
buffer; Puffer; This will act as a buffer; Das wird handeln als ein Puffer
bug; Käfer/Fehler; There is a bug in the software; Es gibt einen Fehler in der Software
bulk; Masse; They bought the books in bulk; Sie kauften die Bücher in Masse
burden; Belastung; The tax system puts a burden on the poor; Das Steuersystem setzt eine Belastung auf die Armen
bureaucracy; Bürokratie; The bureaucracy is a problem for many businesses; Die Bürokratie ist ein Problem für viele Unternehmen
burial; Beerdigung; He went to the burial of his grandfather; Er ging zur Beerdigung von seinem Großvater
burst; platzen; The balloon burst; Der Ballon platzte
cabin; Kabine; They stayed in a small cabin in the woods; Sie blieben in einer kleinen Kabine in dem Wald
cabinet; Kabinett; The president met with his cabinet; Der Präsident traf sich mit seinem Kabinett
calculation; Berechnung; He made a quick calculation in his head; Er machte eine schnelle Berechnung in seinem Kopf
canal; Kanal; The boats sailed through the canal; Die Boote segelten durch den Kanal
candle; Kerze; They lit a candle in the dark room; Sie zündeten eine Kerze in dem dunklen Raum an
canvas; Leinwand; The artist painted on a large canvas; Der Künstler malte auf einer großen Leinwand
capability; Fähigkeit; He has the capability to do the work; Er hat die Fähigkeit zu machen die Arbeit
capitalism; Kapitalismus; Some criticize capitalism for inequality; Manche kritisieren Kapitalismus für Ungleichheit
capitalist; Kapitalist/in; He is a successful capitalist; Er ist ein erfolgreicher Kapitalist
carbon; Kohlenstoff; Plants absorb carbon from the air; Pflanzen absorbieren Kohlenstoff von der Luft
cargo; Fracht; The ship was carrying cargo; Das Schiff trug Fracht
carriage; Kutsche/Wagen; They travelled in a horse-drawn carriage; Sie reisten in einer Pferdegezogenen Kutsche
carve; schnitzen; They carved a wooden statue; Sie schnitzten eine hölzerne Statue
casino; Kasino; He likes to play in the casino; Er mag zu spielen in dem Kasino
casual; lässig; It was just a casual conversation; Es war nur ein lässiges Gespräch
casualty; Opfer; There were several casualties of the accident; Es gab mehrere Opfer von dem Unfall
catalogue; Katalog; The catalogue includes all the available products; Der Katalog beinhaltet alle die verfügbaren Produkte
cater; anbieten; The restaurant caters for large parties; Das Restaurant bietet an für große Partys
cattle; Vieh; The farmers kept cattle; Die Bauern hielten Vieh
caution; Vorsicht; They treated the information with caution; Sie behandelten die Informationen mit Vorsicht
cautious; vorsichtig; He is a very cautious driver; Er ist ein sehr vorsichtiger Fahrer
cave; Höhle; They explored the cave; Sie erkundeten die Höhle
cease; aufhören; They had to cease operations; Sie mussten aufhören Operationen
cemetery; Friedhof; He was buried in the cemetery; Er war begraben in dem Friedhof
certainty; Gewissheit; They did not know for certainty; Sie wussten nicht mit Gewissheit
certificate; Zertifikat; They received a certificate for the course; Sie erhielten ein Zertifikat für den Kurs
challenging; herausfordernd; It was a challenging project; Es war ein herausforderndes Projekt
chamber; Kammer; They met in the chamber of commerce; Sie trafen sich in der Kammer von Handel
championship; Meisterschaft; He won the world championship; Er gewann die Weltmeisterschaft
chaos; Chaos; The situation descended into chaos; Die Situation sank ab in Chaos
characterize; charakterisieren; It was difficult to characterize the situation; Es war schwierig zu charakterisieren die Situation
charm; Charme; He has a lot of charm; Er hat eine Menge von Charme
charming; charmant; She is a very charming lady; Sie ist eine sehr charmante Dame
charter; Charta; They created a charter for human rights; Sie erstellten eine Charta für Menschenrechte
chase; jagen; The dog chased the cat; Der Hund jagte die Katze
cheek; Wange; He kissed her on the cheek; Er küsste sie auf die Wange
cheer; Jubel; The crowd cheered loudly; Die Menge jubelte laut
choir; Chor; She sings in the choir; Sie singt in dem Chor
chop; hacken; They chopped down the trees; Sie hackten nieder die Bäume
chronic; chronisch; He suffers from a chronic illness; Er leidet unter einer chronischen Krankheit
chunk; Stück; He cut off a chunk of wood; Er schnitt ab ein Stück von Holz
circuit; Kreislauf; The circuit board was damaged; Die Leiterplatte war beschädigt
circulate; zirkulieren; The blood needs to circulate properly; Das Blut muss zirkulieren richtig
circulation; Kreislauf; They monitored the blood circulation; Sie überwachten den Blutkreislauf
citizenship; Staatsbürgerschaft; He has German citizenship; Er hat Deutsche Staatsbürgerschaft
civic; bürgerlich; They have civic responsibilities; Sie haben bürgerliche Verantwortlichkeiten
civilian; Zivilist/in; The bombing killed several civilians; Der Bombenanschlag tötete mehrere Zivilisten
civilization; Zivilisation; The ancient civilization was very advanced; Die alte Zivilisation war sehr fortgeschritten
clarify; klären; They needed to clarify the situation; Sie brauchten zu klären die Situation
clarity; Klarheit; The report was lacking clarity; Der Bericht war mangelnd Klarheit
clash; Zusammenstoß; There was a clash between the two groups; Es gab einen Zusammenstoß zwischen den zwei Gruppen
classification; Klassifizierung; They have a system of classification; Sie haben ein System von Klassifizierung
classify; klassifizieren; They classify the students by ability; Sie klassifizieren die Studenten nach Fähigkeit
cleaning; Reinigung; They have a daily cleaning service; Sie haben einen täglichen Reinigungs Service
clerk; Angestellte/r; He is a bank clerk; Er ist ein Bank Angestellter
cliff; Klippe; They walked to the edge of the cliff; Sie gingen zu der Kante von der Klippe
cling; klammern; They clung to each other; Sie klammerten an einander
clinic; Klinik; She went to the clinic for a check up; Sie ging zu der Klinik für eine Untersuchung
clinical; klinisch; They did clinical tests; Sie machten klinische Tests
clip; Klipp; They used a clip to attach the papers; Sie benutzten einen Klipp um zu befestigen die Papiere
closure; Schließung; The factory faced closure; Die Fabrik drohte Schließung
cluster; Häufung; There was a cluster of houses in the village; Es war eine Häufung von Häusern in dem Dorf
coalition; Koalition; The party formed a coalition with another party; Die Partei formte eine Koalition mit einer anderen Partei
coastal; Küsten-; They live in a coastal town; Sie leben in einer Küsten Stadt
cocktail; Cocktail; They enjoyed a cocktail before dinner; Sie genossen einen Cocktail vor dem Abendessen
cognitive; kognitiv; The therapy helped with their cognitive abilities; Die Therapie half mit ihren kognitiven Fähigkeiten
coincide; zusammenfallen; The two events coincide; Die zwei Ereignisse fallen zusammen
coincidence; Zufall; It was a strange coincidence; Es war ein seltsamer Zufall
collaborate; zusammenarbeiten; They are collaborating on the project; Sie arbeiten zusammen an dem Projekt
collaboration; Zusammenarbeit; The project needs a lot of collaboration; Das Projekt braucht eine Menge von Zusammenarbeit
collective; kollektiv; They made a collective decision; Sie machten eine kollektive Entscheidung
collector; Sammler/in; He is a stamp collector; Er ist ein Briefmarken Sammler
collision; Zusammenstoß; There was a car collision; Es war ein Auto Zusammenstoß
colonial; kolonial; They were ruled by a colonial power; Sie waren regiert von einer kolonialen Macht
colony; Kolonie; They lived in a former colony; Sie lebten in einer ehemaligen Kolonie
colourful; farbenfroh; The garden was very colourful; Der Garten war sehr farbenfroh
columnist; Kolumnist/in; She is a famous newspaper columnist; Sie ist eine berühmte Zeitung Kolumnistin
combat; bekämpfen; They are working to combat poverty; Sie arbeiten um zu bekämpfen Armut
comic; Comic; The book is a comic; Das Buch ist ein Comic
commander; Kommandant/in; He is a military commander; Er ist ein Militär Kommandant
commence; beginnen; The meeting will commence at 10 o’clock; Das Treffen wird beginnen um 10 Uhr
commentary; Kommentar; He gave a detailed commentary; Er gab einen detaillierten Kommentar
commentator; Kommentator/in; He is a well-known sports commentator; Er ist ein bekannter Sport Kommentator
commerce; Handel; International commerce is very complex; Internationaler Handel ist sehr komplex
commissioner; Kommissar/in; She is a police commissioner; Sie ist eine Polizei Kommissarin
commodity; Ware; Oil is an important commodity; Öl ist eine wichtige Ware
communist; Kommunist/in; He is a communist; Er ist ein Kommunist
companion; Begleiter/in; The dog is his faithful companion; Der Hund ist sein treuer Begleiter
comparable; vergleichbar; The two products are comparable; Die zwei Produkte sind vergleichbar
comparative; vergleichend; They did a comparative analysis; Sie machten eine vergleichende Analyse
compassion; Mitgefühl; She showed compassion towards them; Sie zeigte Mitgefühl zu ihnen
compel; zwingen; They could not compel him to go; Sie konnten nicht zwingen ihn zu gehen
compelling; zwingend; The evidence was very compelling; Die Beweise waren sehr zwingend
compensate; entschädigen; They will compensate you for the loss; Sie werden entschädigen dich für den Verlust
compensation; Entschädigung; They received compensation for their injuries; Sie erhielten Entschädigung für ihre Verletzungen
competence; Kompetenz; They questioned his competence; Sie fragten seine Kompetenz in Frage
competent; kompetent; He is a competent worker; Er ist ein kompetenter Arbeiter
compile; zusammenstellen; They will compile a report; Sie werden zusammenstellen einen Bericht
complement; ergänzen; The two colours complement each other; Die zwei Farben ergänzen einander
completion; Fertigstellung; The project was near completion; Das Projekt war nahe Fertigstellung
complexity; Komplexität; The complexity of the issue is very high; Die Komplexität von dem Thema ist sehr hoch
compliance; Einhaltung; They need to ensure compliance with the rules; Sie müssen sicherstellen Einhaltung mit den Regeln
complication; Komplikation; There was a complication after the surgery; Es gab eine Komplikation nach der Operation
comply; einhalten; They need to comply with all the regulations; Sie müssen einhalten mit allen den Vorschriften
compose; komponieren; He is composing a new song; Er komponiert ein neues Lied
composer; Komponist/in; She is a famous composer; Sie ist eine berühmte Komponistin
composition; Komposition; The musical composition was beautiful; Die musikalische Komposition war schön
compound; Verbindung; They formed a chemical compound; Sie formten eine chemische Verbindung
comprehensive; umfassend; They wrote a comprehensive report; Sie schrieben einen umfassenden Bericht
comprise; umfassen; The book comprises ten chapters; Das Buch umfasst zehn Kapitel
compromise; Kompromiss; They reached a compromise; Sie erreichten einen Kompromiss
compulsory; obligatorisch; School attendance is compulsory; Schulbesuch ist obligatorisch
compute; berechnen; They need to compute the result; Sie müssen berechnen das Ergebnis
conceal; verbergen; They tried to conceal the information; Sie versuchten zu verbergen die Informationen
concede; zugeben; He finally conceded the point; Er endlich gab zu den Punkt
conceive; vorstellen; They could not conceive the idea; Sie konnten nicht vorstellen die Idee
concession; Zugeständnis; They made several concessions; Sie machten mehrere Zugeständnisse
concrete; Beton; The building was made of concrete; Das Gebäude war gemacht aus Beton
condemn; verurteilen; They condemn the violence; Sie verurteilen die Gewalt
