word;translation;example_sentence;transition_sentence
ambition; Ehrgeiz; he has a big ambition; er hat einen großen Ehrgeiz
ambitious; ehrgeizig; she is ambitious; sie ist ehrgeizig
among; unter; they are among the best; sie sind unter den Besten
amount; Menge; what is the amount?; was ist die Menge?
analyse; analysieren; they analyse the data; sie analysieren die Daten
analysis; Analyse; this is a detailed analysis; das ist eine detaillierte Analyse
ancient; antik; this is an ancient building; das ist ein antikes Gebäude
and; und; she is tall and beautiful; sie ist groß und schön
anger; Wut; he shows anger; er zeigt Wut
angle; Winkel; this is the correct angle; das ist der richtige Winkel
angrily; wütend; he spoke angrily; er sprach wütend
angry; wütend; she is angry; sie ist wütend
animal; Tier; a cat is an animal; eine Katze ist ein Tier
ankle; Knöchel; he hurt his ankle; er verletzte seinen Knöchel
anniversary; Jahrestag; it's their anniversary; es ist ihr Jahrestag
announce; ankündigen; they announce the winner; sie kündigen den Gewinner an
announcement; Ankündigung; this is an important announcement; das ist eine wichtige Ankündigung
annoy; ärgern; that noise annoys me; dieser Lärm ärgert mich
annoyed; verärgert; I am annoyed; ich bin verärgert
annoying; ärgerlich; it's an annoying habit; es ist eine ärgerliche Gewohnheit
annual; jährlich; this is an annual event; das ist eine jährliche Veranstaltung
another; noch ein; I want another one; ich will noch einen
answer; antworten; please answer the question; bitte beantworte die Frage
anxious; besorgt; I am anxious about it; ich bin besorgt darüber
any; irgendwelche; do you have any ideas?; hast du irgendwelche Ideen?
any more; mehr; I do not want any more; ich will nicht mehr
anybody; irgendjemand; is anybody there?; ist irgendjemand da?
anyone; irgendjemand; does anyone know?; weiß irgendjemand?
anything; irgendetwas; do you need anything?; brauchst du irgendetwas?
anyway; sowieso; I'm going anyway; ich gehe sowieso
anywhere; irgendwo; are you going anywhere?; gehst du irgendwo hin?
apart; auseinander; they are apart; sie sind auseinander
apartment; Wohnung; I live in an apartment; ich wohne in einer Wohnung
apologize; entschuldigen; you must apologize; du musst dich entschuldigen
app; App; that's a useful app; das ist eine nützliche App
apparent; offensichtlich; it's apparent; es ist offensichtlich
apparently; anscheinend; apparently, it's true; anscheinend ist es wahr
appeal; Appell; they appeal for help; sie appellieren um Hilfe
appear; erscheinen; they appear to be happy; sie erscheinen glücklich zu sein
appearance; Aussehen; his appearance changed; sein Aussehen veränderte sich
apple; Apfel; I want an apple; ich will einen Apfel
application; Bewerbung; this is an application; das ist eine Bewerbung
apply; anwenden; they apply new methods; sie wenden neue Methoden an
appointment; Termin; I have an appointment; ich habe einen Termin
appreciate; schätzen; I appreciate your help; ich schätze deine Hilfe
approach; Annäherung; it's a new approach; es ist eine neue Annäherung
appropriate; angemessen; that's appropriate; das ist angemessen
approval; Zustimmung; they got the approval; sie bekamen die Zustimmung
approve; zustimmen; they approve the plan; sie stimmen dem Plan zu
approximately; ungefähr; it's approximately ten kilometers; es sind ungefähr zehn Kilometer
april; April; my birthday is in April; mein Geburtstag ist im April
architect; Architekt; he is an architect; er ist ein Architekt
architecture; Architektur; the architecture is modern; die Architektur ist modern
area; Gebiet; this area is nice; dieses Gebiet ist schön
argue; streiten; they argue often; sie streiten oft
argument; Streit; it was a big argument; es war ein großer Streit
arise; entstehen; a problem might arise; ein Problem könnte entstehen
arm; Arm; he hurt his arm; er verletzte seinen Arm
armed; bewaffnet; the soldiers are armed; die Soldaten sind bewaffnet
arms; Waffen; the arms are dangerous; die Waffen sind gefährlich
army; Armee; he is in the army; er ist in der Armee
around; um; I walk around the park; ich gehe um den Park
arrange; arrangieren; they arrange a meeting; sie arrangieren ein Meeting
arrangement; Anordnung; this is a good arrangement; das ist eine gute Anordnung
arrest; festnehmen; they arrest the criminal; sie nehmen den Kriminellen fest
arrival; Ankunft; what time is your arrival?; wann ist deine Ankunft?
arrive; ankommen; they arrive on time; sie kommen pünktlich an
art; Kunst; this is a beautiful piece of art; das ist ein schönes Kunstwerk
article; Artikel; that's a good article; das ist ein guter Artikel
artificial; künstlich; it's an artificial flower; es ist eine künstliche Blume
artist; Künstler; she is an artist; sie ist eine Künstlerin
artistic; künstlerisch; he has an artistic talent; er hat ein künstlerisches Talent
as; als; as fast as a car; so schnell wie ein Auto
ashamed; beschämt; I am ashamed; ich bin beschämt
ask; fragen; please ask him; bitte frag ihn
asleep; schlafend; he is asleep; er ist schlafend
aspect; Aspekt; this is an important aspect; das ist ein wichtiger Aspekt
assess; bewerten; they assess the situation; sie bewerten die Situation
assessment; Bewertung; this is an assessment; das ist eine Bewertung
assignment; Aufgabe; that is a difficult assignment; das ist eine schwierige Aufgabe
assist; helfen; can you assist me?; kannst du mir helfen?
assistant; Assistent; he is my assistant; er ist mein Assistent
associate; assoziieren; I associate that with the past; ich assoziiere das mit der Vergangenheit
associated; verbunden; these are associated with each other; diese sind miteinander verbunden
association; Vereinigung; that's an association; das ist eine Vereinigung
assume; annehmen; I assume that it's true; ich nehme an, dass es wahr ist
at; bei; I am at the office; ich bin im Büro
athlete; Athlet; she is a great athlete; sie ist eine großartige Athletin
atmosphere; Atmosphäre; the atmosphere is nice; die Atmosphäre ist schön
attach; befestigen; they attach it to the wall; sie befestigen es an der Wand
attack; Angriff; it's an attack; es ist ein Angriff
attempt; Versuch; it was a good attempt; es war ein guter Versuch
attend; teilnehmen; they attend the meeting; sie nehmen an dem Meeting teil
attention; Aufmerksamkeit; please pay attention; bitte achte auf
attitude; Einstellung; he has a good attitude; er hat eine gute Einstellung
attract; anziehen; the flower attracts bees; die Blume zieht Bienen an
attraction; Attraktion; this is a popular attraction; das ist eine beliebte Attraktion
attractive; attraktiv; she is attractive; sie ist attraktiv
audience; Publikum; the audience is big; das Publikum ist groß
august; August; the concert is in August; das Konzert ist im August
aunt; Tante; she is my aunt; sie ist meine Tante
author; Autor; he is the author of the book; er ist der Autor des Buches
authority; Autorität; they have the authority; sie haben die Autorität
autumn; Herbst; it's autumn; es ist Herbst
available; verfügbar; it's not available; es ist nicht verfügbar
average; Durchschnitt; this is an average score; das ist eine durchschnittliche Punktzahl
avoid; vermeiden; please avoid that; bitte vermeide das
award; Auszeichnung; they received an award; sie erhielten eine Auszeichnung
aware; bewusst; I am aware of that; ich bin mir dessen bewusst
away; weg; she is away; sie ist weg
awful; schrecklich; it's an awful day; es ist ein schrecklicher Tag
baby; Baby; the baby is sleeping; das Baby schläft
back; zurück; he went back home; er ging zurück nach Hause
background; Hintergrund; what is the background?; was ist der Hintergrund?
backwards; rückwärts; they moved backwards; sie bewegten sich rückwärts
bacteria; Bakterien; bacteria can be harmful; Bakterien können schädlich sein
bad; schlecht; it's a bad idea; es ist eine schlechte Idee
badly; schlecht; he behaves badly; er benimmt sich schlecht
bag; Tasche; I need a bag; ich brauche eine Tasche
bake; backen; I like to bake cakes; ich backe gern Kuchen
balance; Gleichgewicht; they need to keep the balance; sie müssen das Gleichgewicht halten
ball; Ball; he plays with the ball; er spielt mit dem Ball
ban; Verbot; there's a ban on smoking; es gibt ein Verbot gegen Rauchen
banana; Banane; I like to eat bananas; ich esse gern Bananen
band; Band; they formed a band; sie gründeten eine Band
bank; Bank; it's a big bank; es ist eine große Bank
bar; Bar; they meet at the bar; sie treffen sich in der Bar
barrier; Barriere; this is a barrier; das ist eine Barriere
base; Basis; this is the base of the building; das ist die Basis des Gebäudes
baseball; Baseball; they play baseball; sie spielen Baseball
based; basiert; the movie is based on a true story; der Film basiert auf einer wahren Geschichte
basic; grundlegend; this is a basic principle; das ist ein grundlegendes Prinzip
basically; grundsätzlich; basically, we agree; grundsätzlich stimmen wir überein
basis; Basis; on a daily basis; auf einer täglichen Basis
basketball; Basketball; they play basketball; sie spielen Basketball
bath; Bad; I take a bath; ich nehme ein Bad
bathroom; Badezimmer; where is the bathroom?; wo ist das Badezimmer?
battery; Batterie; the battery is low; die Batterie ist schwach
battle; Schlacht; it was a big battle; es war eine große Schlacht
be; sein; I want to be happy; ich will glücklich sein
beach; Strand; we go to the beach; wir gehen zum Strand
bean; Bohne; I like beans; ich mag Bohnen
bear; Bär; a bear is an animal; ein Bär ist ein Tier
beat; schlagen; they beat the team; sie schlagen die Mannschaft
beautiful; schön; she is beautiful; sie ist schön
beauty; Schönheit; that's a beauty; das ist eine Schönheit
because; weil; I'm tired because I worked hard; ich bin müde, weil ich hart gearbeitet habe
become; werden; I want to become a doctor; ich möchte ein Arzt werden
bed; Bett; I sleep in bed; ich schlafe im Bett
bedroom; Schlafzimmer; this is the bedroom; das ist das Schlafzimmer
bee; Biene; a bee makes honey; eine Biene macht Honig
beef; Rindfleisch; I like to eat beef; ich esse gern Rindfleisch
beer; Bier; I drink a beer; ich trinke ein Bier
before; bevor; do it before noon; mach es vor Mittag
beg; betteln; they beg for money; sie betteln um Geld
begin; beginnen; let's begin now; lass uns jetzt beginnen
beginning; Beginn; this is the beginning; das ist der Beginn
behave; benehmen; please behave; bitte benimm dich
behaviour; Verhalten; his behaviour is bad; sein Verhalten ist schlecht
behind; hinter; the car is behind the tree; das Auto ist hinter dem Baum
being; Sein; human being; menschliches Sein
belief; Glaube; it's my belief; es ist mein Glaube
believe; glauben; I believe in you; ich glaube an dich
bell; Glocke; the bell rang; die Glocke läutete
belong; gehören; does this belong to you?; gehört das dir?
below; unter; it's below the table; es ist unter dem Tisch
belt; Gürtel; I need a belt; ich brauche einen Gürtel
bend; biegen; they bend the metal; sie biegen das Metall
benefit; Vorteil; this is a benefit; das ist ein Vorteil
bent; gebogen; the metal is bent; das Metall ist gebogen
best; beste; this is the best day; das ist der beste Tag
bet; wetten; I bet it will rain; ich wette, es wird regnen
better; besser; this is better; das ist besser
between; zwischen; it's between two trees; es ist zwischen zwei Bäumen
beyond; jenseits; it's beyond the hill; es ist jenseits des Hügels
bicycle; Fahrrad; I ride a bicycle; ich fahre Fahrrad
big; groß; it's a big house; es ist ein großes Haus
bike; Fahrrad; I ride my bike; ich fahre mein Fahrrad
bill; Rechnung; that's a big bill; das ist eine große Rechnung
billion; Milliarde; one billion is a big number; eine Milliarde ist eine große Zahl
bin; Mülltonne; throw it in the bin; wirf es in die Mülltonne
biology; Biologie; I study biology; ich studiere Biologie
bird; Vogel; a bird is singing; ein Vogel singt
birth; Geburt; it's her birth; es ist ihre Geburt
birthday; Geburtstag; it's my birthday; es ist mein Geburtstag
biscuit; Keks; I eat a biscuit; ich esse einen Keks
bit; bisschen; I need a bit more; ich brauche ein bisschen mehr
bite; beißen; don't bite me; beiß mich nicht
bitter; bitter; it tastes bitter; es schmeckt bitter
black; schwarz; the dress is black; das Kleid ist schwarz
blame; Schuld; it's not my blame; es ist nicht meine Schuld
blank; leer; the page is blank; die Seite ist leer
blind; blind; he is blind; er ist blind
block; Block; it's a concrete block; es ist ein Betonblock
blog; Blog; I write a blog; ich schreibe einen Blog
blonde; blond; she is blonde; sie ist blond
blood; Blut; there is blood; da ist Blut
blow; blasen; they blow a whistle; sie blasen eine Pfeife
blue; blau; the sky is blue; der Himmel ist blau
board; Tafel; it's a blackboard; es ist eine Tafel
boat; Boot; they go by boat; sie fahren mit dem Boot
body; Körper; this is my body; das ist mein Körper
boil; kochen; they boil water; sie kochen Wasser
bomb; Bombe; a bomb exploded; eine Bombe explodierte
bond; Bindung; it's a strong bond; es ist eine starke Bindung
bone; Knochen; I broke a bone; ich brach einen Knochen
book; Buch; it's a good book; es ist ein gutes Buch
boot; Stiefel; I wear boots; ich trage Stiefel
border; Grenze; it's the border of the country; es ist die Grenze des Landes
bored; gelangweilt; I am bored; ich bin gelangweilt
boring; langweilig; it's a boring movie; es ist ein langweiliger Film
born; geboren; I was born in June; ich bin im Juni geboren
borrow; leihen; can I borrow your pen?; kann ich deinen Stift leihen?
boss; Chef; he is my boss; er ist mein Chef
both; beide; both are good; beide sind gut
bother; stören; don't bother me; störe mich nicht
bottle; Flasche; I need a bottle of water; ich brauche eine Flasche Wasser
bottom; unten; it's at the bottom; es ist unten
bowl; Schüssel; I need a bowl; ich brauche eine Schüssel
box; Kiste; I have a box; ich habe eine Kiste
boy; Junge; he is a boy; er ist ein Junge
boyfriend; Freund; he is my boyfriend; er ist mein Freund
brain; Gehirn; the brain is important; das Gehirn ist wichtig
branch; Zweig; it's a branch of the tree; es ist ein Zweig des Baumes
brand; Marke; it's a popular brand; es ist eine beliebte Marke
brave; mutig; he is brave; er ist mutig
bread; Brot; I eat bread; ich esse Brot
break; brechen; I break the glass; ich breche das Glas
breakfast; Frühstück; I eat breakfast; ich esse Frühstück
breast; Brust; breast cancer; Brustkrebs
breath; Atem; take a breath; nimm einen Atemzug
breathe; atmen; I breathe air; ich atme Luft
breathing; Atmung; his breathing is difficult; seine Atmung ist schwierig
bride; Braut; the bride is beautiful; die Braut ist schön
bridge; Brücke; I cross the bridge; ich überquere die Brücke
brief; kurz; it's a brief meeting; es ist ein kurzes Meeting
bright; hell; the light is bright; das Licht ist hell
brilliant; brillant; that's a brilliant idea; das ist eine brillante Idee
bring; bringen; please bring the book; bitte bring das Buch
broad; breit; the road is broad; die Straße ist breit
broadcast; senden; they broadcast the news; sie senden die Nachrichten
broken; gebrochen; the window is broken; das Fenster ist gebrochen
brother; Bruder; he is my brother; er ist mein Bruder
brown; braun; the table is brown; der Tisch ist braun
brush; Bürste; I need a brush; ich brauche eine Bürste
bubble; Blase; the bubble floats; die Blase schwebt
budget; Budget; it's a tight budget; es ist ein knappes Budget
build; bauen; they build a house; sie bauen ein Haus
building; Gebäude; it's a big building; es ist ein großes Gebäude
bullet; Kugel; a bullet is dangerous; eine Kugel ist gefährlich
bunch; Bund; a bunch of bananas; ein Bund Bananen
burn; verbrennen; don't burn the food; verbrenn das Essen nicht
bury; begraben; they bury the treasure; sie begraben den Schatz
bus; Bus; I go by bus; ich fahre mit dem Bus
bush; Busch; there is a bush; da ist ein Busch
business; Geschäft; it's a successful business; es ist ein erfolgreiches Geschäft
businessman; Geschäftsmann; he is a businessman; er ist ein Geschäftsmann
busy; beschäftigt; I am busy; ich bin beschäftigt
but; aber; I am tired but happy; ich bin müde aber glücklich
butter; Butter; I eat butter on bread; ich esse Butter auf Brot
button; Knopf; press the button; drück den Knopf
buy; kaufen; I want to buy a car; ich möchte ein Auto kaufen
by; von; it was made by them; es wurde von ihnen gemacht
bye; tschüss; bye, see you later; tschüss, bis später
cable; Kabel; it's an electric cable; es ist ein elektrisches Kabel
cafe; Café; we meet in the cafe; wir treffen uns im Café
cake; Kuchen; I like cake; ich mag Kuchen
calculate; berechnen; they calculate the cost; sie berechnen die Kosten
call; anrufen; please call me; bitte ruf mich an
calm; ruhig; the sea is calm; das Meer ist ruhig
camera; Kamera; I have a camera; ich habe eine Kamera
camp; Camp; they go to the camp; sie gehen zum Camp
campaign; Kampagne; it's a political campaign; es ist eine politische Kampagne
camping; Camping; I like camping; ich mag Camping
campus; Campus; the campus is big; der Campus ist groß
can; können; I can do this; ich kann das tun
cancel; absagen; they cancel the meeting; sie sagen das Meeting ab
cancer; Krebs; he has cancer; er hat Krebs
candidate; Kandidat; he is a candidate; er ist ein Kandidat
cannot; kann nicht; I cannot do this; ich kann das nicht tun
cap; Kappe; I wear a cap; ich trage eine Kappe
capable; fähig; he is capable; er ist fähig
capacity; Kapazität; what is the capacity?; was ist die Kapazität?
capital; Hauptstadt; what is the capital of Germany?; was ist die Hauptstadt von Deutschland?
captain; Kapitän; he is the captain; er ist der Kapitän
capture; einfangen; they capture the animal; sie fangen das Tier ein
car; Auto; I drive a car; ich fahre ein Auto
card; Karte; I have a card; ich habe eine Karte
care; Pflege; they care for the sick; sie pflegen die Kranken
career; Karriere; she has a good career; sie hat eine gute Karriere
careful; vorsichtig; please be careful; bitte sei vorsichtig
carefully; vorsichtig; I do it carefully; ich mache es vorsichtig
careless; achtlos; he is careless; er ist achtlos
carpet; Teppich; there's a carpet; da ist ein Teppich
carrot; Karotte; I like carrots; ich mag Karotten
carry; tragen; please carry this; bitte trag das
cartoon; Zeichentrick; it's a funny cartoon; es ist ein lustiger Zeichentrick
case; Fall; it's an important case; es ist ein wichtiger Fall
cash; Bargeld; I have cash; ich habe Bargeld
cast; werfen; they cast a fishing rod; sie werfen eine Angelrute
castle; Schloss; it's a beautiful castle; es ist ein schönes Schloss
cat; Katze; I have a cat; ich habe eine Katze
catch; fangen; I catch the ball; ich fange den Ball
category; Kategorie; in which category?; in welcher Kategorie?
cause; Ursache; what is the cause?; was ist die Ursache?
cd; CD; I have a CD; ich habe eine CD
ceiling; Decke; the ceiling is high; die Decke ist hoch
celebrate; feiern; they celebrate the new year; sie feiern das neue Jahr
celebration; Feier; it's a big celebration; es ist eine große Feier
celebrity; Berühmtheit; she is a celebrity; sie ist eine Berühmtheit
cell; Zelle; it's a cell in the body; es ist eine Zelle im Körper
cent; Cent; I have a few cents; ich habe ein paar Cent
central; zentral; it's in the central area; es ist im zentralen Bereich
centre; Zentrum; the centre of the city; das Zentrum der Stadt
century; Jahrhundert; in the 21st century; im 21. Jahrhundert
ceremony; Zeremonie; it's a wedding ceremony; es ist eine Hochzeitszeremonie
certain; gewiss; I'm certain about it; ich bin gewiss darüber
certainly; sicherlich; certainly, it's true; sicherlich ist es wahr
chain; Kette; it's a chain; es ist eine Kette
chair; Stuhl; I sit on a chair; ich sitze auf einem Stuhl
chairman; Vorsitzender; he is the chairman; er ist der Vorsitzende
challenge; Herausforderung; it's a challenge; es ist eine Herausforderung
champion; Meister; he is the champion; er ist der Meister
chance; Chance; there's a small chance; da ist eine kleine Chance
change; ändern; I change my clothes; ich ändere meine Kleidung
channel; Kanal; it's a tv channel; es ist ein Fernsehkanal
chapter; Kapitel; I read the chapter; ich lese das Kapitel
character; Charakter; he has a good character; er hat einen guten Charakter
characteristic; Eigenschaft; that's his characteristic; das ist seine Eigenschaft
charge; aufladen; they charge the phone; sie laden das Handy auf
charity; Wohltätigkeit; it's a charity event; es ist eine Wohltätigkeitsveranstaltung
chart; Diagramm; look at the chart; schau auf das Diagramm
chat; plaudern; I want to chat; ich möchte plaudern
cheap; billig; it's a cheap product; es ist ein billiges Produkt
cheat; betrügen; he cheats in the game; er betrügt im Spiel
check; überprüfen; please check it; bitte überprüfe es
cheerful; fröhlich; she is cheerful; sie ist fröhlich
cheese; Käse; I like cheese; ich mag Käse
chef; Koch; he is a chef; er ist ein Koch
chemical; chemisch; it's a chemical reaction; es ist eine chemische Reaktion
chemistry; Chemie; I study chemistry; ich studiere Chemie
chest; Brustkorb; he hurts his chest; er verletzt seinen Brustkorb
chicken; Hähnchen; I eat chicken; ich esse Hähnchen
chief; Chef; he is the chief; er ist der Chef
child; Kind; the child is happy; das Kind ist glücklich
childhood; Kindheit; I remember my childhood; ich erinnere mich an meine Kindheit
chip; Chip; this is a potato chip; das ist ein Kartoffelchip
chocolate; Schokolade; I like chocolate; ich mag Schokolade
choice; Wahl; it's your choice; es ist deine Wahl
choose; wählen; I choose this one; ich wähle diesen
church; Kirche; they go to the church; sie gehen zur Kirche
cigarette; Zigarette; don't smoke a cigarette; rauche keine Zigarette
cinema; Kino; I go to the cinema; ich gehe ins Kino
circle; Kreis; it's a circle; es ist ein Kreis
circumstance; Umstand; it's a difficult circumstance; es ist ein schwieriger Umstand
cite; zitieren; they cite an example; sie zitieren ein Beispiel
citizen; Bürger; he is a citizen; er ist ein Bürger
city; Stadt; it's a big city; es ist eine große Stadt
civil; zivil; this is a civil matter; das ist eine zivile Angelegenheit
claim; behaupten; they claim that it's true; sie behaupten, dass es wahr ist
class; Klasse; I am in this class; ich bin in dieser Klasse
classic; klassisch; it's a classic movie; es ist ein klassischer Film
classical; klassisch; it's a classical music; es ist eine klassische Musik
classroom; Klassenzimmer; they are in the classroom; sie sind im Klassenzimmer
clause; Klausel; read the clause; lies die Klausel
clean; sauber; the room is clean; das Zimmer ist sauber
clear; klar; it's a clear day; es ist ein klarer Tag
clearly; klar; I see it clearly; ich sehe es klar
clever; klug; he is clever; er ist klug
click; klicken; click on the button; klick auf den Knopf
client; Kunde; he is a client; er ist ein Kunde
climate; Klima; the climate is warm; das Klima ist warm
climb; klettern; they climb the mountain; sie klettern den Berg
clock; Uhr; what time is it on the clock?; wie spät ist es auf der Uhr?
close; schließen; they close the door; sie schließen die Tür
closed; geschlossen; the shop is closed; der Laden ist geschlossen
closely; genau; look at it closely; schau es dir genau an
cloth; Tuch; it's a piece of cloth; es ist ein Stück Tuch
clothes; Kleidung; I buy new clothes; ich kaufe neue Kleidung
clothing; Kleidung; the clothing is warm; die Kleidung ist warm
cloud; Wolke; there's a cloud in the sky; da ist eine Wolke am Himmel
club; Club; it's a sports club; es ist ein Sportclub
clue; Hinweis; I have a clue; ich habe einen Hinweis
coach; Trainer; he is a coach; er ist ein Trainer
coal; Kohle; they use coal for energy; sie benutzen Kohle für Energie
coast; Küste; they live on the coast; sie leben an der Küste
coat; Mantel; I wear a coat; ich trage einen Mantel
code; Code; it's a secret code; es ist ein geheimer Code
coffee; Kaffee; I drink coffee; ich trinke Kaffee
coin; Münze; I have a coin; ich habe eine Münze
cold; kalt; it's cold; es ist kalt
collapse; zusammenbrechen; the building collapses; das Gebäude bricht zusammen
colleague; Kollege; he is my colleague; er ist mein Kollege
collect; sammeln; they collect stamps; sie sammeln Briefmarken
collection; Sammlung; this is my collection; das ist meine Sammlung
college; Hochschule; he goes to college; er geht zur Hochschule
colour; Farbe; what is your favourite colour?; was ist deine Lieblingsfarbe?
coloured; farbig; the book is coloured; das Buch ist farbig
column; Säule/Spalte; there is a column in the table; da ist eine Spalte in der Tabelle
combination; Kombination; it's a combination of things; es ist eine Kombination von Dingen
combine; kombinieren; they combine these two; sie kombinieren diese zwei
come; kommen; they come to the party; sie kommen zur Party
comedy; Komödie; it's a comedy movie; es ist ein Komödienfilm
comfort; Komfort; it's for comfort; es ist für Komfort
comfortable; bequem; this is comfortable; das ist bequem
command; Befehl; it's a command; es ist ein Befehl
comment; Kommentar; I have a comment; ich habe einen Kommentar
commercial; kommerziell; it's a commercial product; es ist ein kommerzielles Produkt
commission; Kommission; they formed a commission; sie bildeten eine Kommission
